empresa;cargo;modalidade;cidade;categoria
Superlógica Tecnologias;Pessoa SRE/DevOps;Remoto;Campinas - SP;devops
Minsait an Indra Company;Pessoa Analista DevOps Pleno;Remoto;São Paulo - SP;devops
invillia;Spec/Sr DevOps - (100% Remoto);Remoto;Não informado;devops
3CON | IT & Digital;Devops;Remoto;São Paulo - SP;devops
Dentsu World Services Brazil;DevOps Engineer - Banco de Talentos;Presencial;Porto Alegre - RS;devops
Iteris;Senior DevOps Engineer (Projeto Internacional);Remoto;São Paulo - SP;devops
openlabs;Analista DevOps Engineer Sênior (PCD);Remoto;São Paulo - SP;devops
Empresa de Tecnologia;Analista DevOps (Curitiba-PR);Presencial;Curitiba - PR;devops
Darede;Analista DevOps Jr;Remoto;Barueri - SP;devops
Vem Pra Vivo;Analista Suporte Devops Senior;Presencial;São Paulo - SP;devops
Zallpy Digital;DevOps - Sênior;Remoto;Porto Alegre - RS;devops
NAVA | Technology for Business;Devops/SRE;Presencial;São Paulo - SP;devops
200DEV;Analista Devops Sênior;Remoto;Não informado;devops
DB;DevOps Pl - Projeto Internacional;Remoto;Porto Alegre - RS;devops
#vempraot;DevOps Sênior;Presencial;Rio de Jan... - RJ;devops
Confi;Devops;Remoto;São Paulo - SP;devops
Zappts;Analista Devops SR;Remoto;São José d... - SP;devops
Grupo MAG;Engenheiro DevOps Pleno/Sênior;Remoto;Não informado;devops
Korp;Estágio DevOps;Remoto;Curitiba - PR;devops
Venha ser um AGente de transformação!;DevOps Engineer;Remoto;Florianópolis - SC;devops
Valenet Carreiras;[P&D] Analista de Redes DevOps;Presencial;Itabira - MG;devops
Tempest Security Intelligence;Engenheiro(a) de Software (SRE / DevOps);Remoto;Recife - PE;devops
NAVA | Technology for Business;Devops Cloud SR;Presencial;São Paulo - SP;devops
Logcomex;Analista de Devops Pleno;Remoto;Curitiba - PR;devops
Platform Builders;Senior DevOps Engineer - Troubleshootings;Remoto;São Paulo - SP;devops
3CON | IT & Digital;DevOps;Remoto;São Paulo - SP;devops
Platform Builders;Senior DevOps Engineer - SRE;Remoto;São Paulo - SP;devops
Centro Universitário Ítalo Brasileiro;Analista DevOps;Presencial;São Paulo - SP;devops
Instituto Atlântico;Analista de DevOps - Pleno (Remoto) 27658-5268741;Remoto;Fortaleza - CE;devops
Núclea;Analista DevOps Sr;Presencial;São Paulo - SP;devops
B4A;Analista de DevOps;Presencial;São Paulo - SP;devops
Grupo Panvel;DevOps Engineer;Presencial;Eldorado d... - RS;devops
Stefanini Group;Pessoa Engenheira DevOps;Remoto;Não informado;devops
Yaman Tecnologia;BANCO DE TALENTOS - ANALISTA DEVOPS AZURE;Remoto;Barueri - SP;devops
Volkswagen do Brasil;Analista DevOps de TI;Presencial;São Bernar... - SP;devops
GBOEX;Analista de DevOps PL - Porto Alegre / RS;Remoto;Porto Alegre - RS;devops
Alterdata Software;Administrador de TI (DevOps) Pleno;Remoto;São José d... - SP;devops
Nelogica;DevOps;Presencial;Porto Alegre - RS;devops
DBServices;DevOps Lead - Full-Time Remotely (Portugal Timezone);Remoto;Porto Alegre - RS;devops
Grupo Brisanet;Pessoa Assistente de DevOps I (Juazeiro do Norte CE);Presencial;Juazeiro d... - CE;devops
VENHA SER #SANGUELARANJA ????;SRE Devops - SR;Presencial;São Paulo - SP;devops
Wiser Educação;Devops Trainee;Remoto;Curitiba - PR;devops
Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.;DevOps;Remoto;São Paulo - SP;devops
Grupo Boticário;DevOps Especialista I;Remoto;Não informado;devops
V8.TECH;Pessoa Engenheira DevOps - Sênior;Presencial;Não informado;devops
Autoglass Tech;Analista DevOps;Presencial;Vila Velha - ES;devops
DBServices;DevOps Engineer | Full-remote;Remoto;Porto Alegre - RS;devops
GLOBAL HITSS;13194-Especialista DevOps;Presencial;São Paulo - SP;devops
BRLink;Banco de Talentos - Cloud DevOps;Remoto;São Paulo - SP;devops
Media.Monks Brasil;[SÃOCARLOS.MONKS] Estágio em DevOps;Remoto;São Carlos - SP;devops
Cloud++;DevOps Specialist - Cloud and Infrastructure.;Remoto;Natal - RN;devops
Zappts;Engenheira(o) Devops;Remoto;São José d... - SP;devops
Asaas;Engenheiro(a) DevOps;Remoto;Não informado;devops
Creare Sistemas;Analista de DevOps PL;Presencial;Canoas - RS;devops
Darwin;Devops Pleno;Remoto;Não informado;devops
Visto Tecnologia;DevOps Sr.;Remoto;São Paulo - SP;devops
Havan Labs - Tecnologia;Analista DevOps Pleno/Sênior;Presencial;Brusque - SC;devops
Iteris;Senior DevOps Engineer;Presencial;São Paulo - SP;devops
PagoNxt Merchant Solutions BR (a Santander company);DevOps Analyst;Remoto;Porto Alegre - RS;devops
Leve Saúde;Engenheiro(a) DevOps;Presencial;Rio de Jan... - RJ;devops
Solutis Tecnologias LTDA;Líder Técnico de DevOps (Sênior);Presencial;Salvador - BA;devops
F360;Devops Pleno;Remoto;São Paulo - SP;devops
Lanlink Informática;Desenvolvedor DevOps/.NET/NodeJS Sênior;Remoto;Fortaleza - CE;devops
Banco Bmg;Coordenação Application Security - DevSecOps/DevOps;Presencial;Não informado;devops
Page Resourcing;PS - Cloud Devops Engineer - CDMX - Sourcing;Presencial;Não informado;devops
Page Resourcing;PS - Devops Engineer - CDMX - Sourcing;Presencial;Não informado;devops
Stefanini Group;Analista Devops SR;Presencial;São Paulo - SP;devops
International Experience ?;OCA | Devops Engineer;Presencial;Não informado;devops
Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.;DevOps;Remoto;São Paulo - SP;devops
VeeCode Squad;Banco de Talentos Veecode Squad DEVOPS 2.0;Remoto;Não informado;devops
Trixlog;Devops Pleno;Remoto;Fortaleza - CE;devops
Vetta Tecnologia;Banco de Talentos - Analista DevOps;Remoto;Belo Horiz... - MG;devops
NAVA | Technology for Business;BANCO DE TALENTOS - DEVOPS JR/PL/SR/ESPECIALISTAS;Presencial;Não informado;devops
Ada;Instrutor(a) DevOps - (Part time);Remoto;São Paulo - SP;devops
